"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","t_centrarchi","t_lynn","t_maritimum","t_mesophilum","t_ovolyticum","t_rebecca","t_soleae","t_sp47","Inference"
"murA","","UDP-N-acetylglucosamine 1-carboxyvinyltransferase","5","5","1","132","7206","150","6717","","1313","1313","1313","BIAFHNIK_01202","ACNLJPHK_00147","GIHJJLIL_00040","","AGNIMCJO_00694","IFMAJOOC_01282","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P45025"
"rplX","","50S ribosomal protein L24","5","5","1","132","5724","150","3040","","308","314","309","BIAFHNIK_01691","ACNLJPHK_00622","","","","IFMAJOOC_02671","NBFCBFAJ_01238","DIGNGMGA_00240","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0CI78"
"fusA","","Elongation factor G","5","5","1","132","5710","150","3027","","2117","2117","2117","BIAFHNIK_01704","ACNLJPHK_00609","","","","IFMAJOOC_02684","NBFCBFAJ_01225","DIGNGMGA_00227","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q5ZYP6"
"trmH_2","","Putative TrmH family tRNA/rRNA methyltransferase; tRNA (guanosine(18)-2'-O)-methyltransferase","5","5","1","132","5700","150","3019","","161","737","621","BIAFHNIK_01709","ACNLJPHK_00602","","","","IFMAJOOC_01696","NBFCBFAJ_01220","DIGNGMGA_00219","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q7A794"
"clpC","","ATP-dependent Clp protease ATP-binding subunit ClpC; Negative regulator of genetic competence ClpC/MecB","5","5","1","132","6988","150","7421","","1016","2561","2247","BIAFHNIK_02004","ACNLJPHK_01956","","","","IFMAJOOC_00292","NBFCBFAJ_01335","DIGNGMGA_00302","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q2G0P5"
"rhlE_2","","ATP-dependent RNA helicase RhlE; ATP-dependent RNA helicase DeaD","5","5","1","132","8705","150","3944","","1355","1409","1367","BIAFHNIK_02436","ACNLJPHK_01807","","JLCCBCLK_00525","","IFMAJOOC_00564","NBFCBFAJ_00213","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P25888"
"mnmG","","tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG","5","5","1","132","8342","150","7530","","1877","1877","1877","BIAFHNIK_00008","ACNLJPHK_02581","","JLCCBCLK_00250","","IFMAJOOC_00487","NBFCBFAJ_00467","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q8KA85"
"rng","","Ribonuclease G; Ribonuclease E","5","5","1","132","6699","150","225","","434","1544","1319","BIAFHNIK_00037","ACNLJPHK_02745","","JLCCBCLK_00176","","IFMAJOOC_01666","NBFCBFAJ_00536","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A9J0"
"thcC","","Rhodocoxin","5","5","1","132","6781","150","152","","332","338","333","BIAFHNIK_00081","ACNLJPHK_02363","","JLCCBCLK_00131","","IFMAJOOC_02572","NBFCBFAJ_00329","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P43493"
"prs","","Ribose-phosphate pyrophosphokinase","5","5","1","132","6616","150","414","","941","941","941","BIAFHNIK_00108","ACNLJPHK_00827","","JLCCBCLK_00186","","IFMAJOOC_01013","NBFCBFAJ_00519","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P14193"
"desA1","","Putative acyl-[acyl-carrier-protein] desaturase DesA1","5","5","1","132","6848","150","4481","","980","980","980","BIAFHNIK_00133","ACNLJPHK_01792","","JLCCBCLK_00104","","IFMAJOOC_02352","NBFCBFAJ_00311","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WNZ7"
"group_212","","hypothetical protein","5","5","1","132","8197","150","5107","","722","722","722","BIAFHNIK_00166","ACNLJPHK_02062","","JLCCBCLK_00075","","IFMAJOOC_00227","NBFCBFAJ_00281","","ab initio prediction:Prodigal:2.6"
"group_213","","hypothetical protein","5","5","1","132","8285","150","5083","","746","746","746","BIAFHNIK_00167","ACNLJPHK_00288","","JLCCBCLK_00056","","IFMAJOOC_00246","NBFCBFAJ_00267","","ab initio prediction:Prodigal:2.6"
"mtaB","","Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB","5","5","1","132","4637","150","5884","","1319","1334","1331","BIAFHNIK_00720","ACNLJPHK_02799","","","AGNIMCJO_00293","IFMAJOOC_02432","NBFCBFAJ_01294","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P54462"
"rplF","","50S ribosomal protein L6","5","5","1","132","5778","150","3075","","545","545","545","BIAFHNIK_00814","ACNLJPHK_00626","","","","IFMAJOOC_02730","NBFCBFAJ_01242","DIGNGMGA_00244","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P02391"
"rplR","","50S ribosomal protein L18","5","5","1","132","5779","150","3076","","350","350","350","BIAFHNIK_00815","ACNLJPHK_00627","","","","IFMAJOOC_02731","NBFCBFAJ_01243","DIGNGMGA_00245","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q2FW22"
"rplO","","50S ribosomal protein L15","5","5","1","132","5782","150","3080","","449","452","449","BIAFHNIK_00818","ACNLJPHK_00630","","","","IFMAJOOC_02734","NBFCBFAJ_01246","DIGNGMGA_00248","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P19946"
"rpsM","","30S ribosomal protein S13","5","5","1","132","5785","150","3083","","365","365","365","BIAFHNIK_00821","ACNLJPHK_00634","","","","IFMAJOOC_02738","NBFCBFAJ_01249","DIGNGMGA_00251","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q2FW30"
"fur","","Ferric uptake regulation protein","5","5","1","132","7962","150","1355","","449","455","450","BIAFHNIK_01146","ACNLJPHK_02620","GIHJJLIL_00036","","AGNIMCJO_00914","IFMAJOOC_02617","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O07315"
"purB","","Adenylosuccinate lyase","5","5","1","132","5119","150","2498","","1343","1343","1343","BIAFHNIK_01300","ACNLJPHK_00490","GIHJJLIL_00029","","AGNIMCJO_00022","IFMAJOOC_02108","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AB89"
"ettA_2","","Energy-dependent translational throttle protein EttA","5","5","1","132","4186","150","5387","","1691","1691","1691","BIAFHNIK_01636","ACNLJPHK_00752","","","AGNIMCJO_00710","IFMAJOOC_01537","","DIGNGMGA_00623","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A9W3"
"rpsC","","30S ribosomal protein S3","5","5","1","132","5719","150","3035","","716","725","720","BIAFHNIK_01696","ACNLJPHK_00617","","","","IFMAJOOC_02676","NBFCBFAJ_01233","DIGNGMGA_00235","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P21465"
"rplB","","50S ribosomal protein L2","5","5","1","132","5716","150","3032","","824","824","824","BIAFHNIK_01699","ACNLJPHK_00614","","","","IFMAJOOC_02679","NBFCBFAJ_01230","DIGNGMGA_00232","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q72I07"
"rplD","","50S ribosomal protein L4","5","5","1","132","5713","150","3030","","629","629","629","BIAFHNIK_01701","ACNLJPHK_00612","","","","IFMAJOOC_02681","NBFCBFAJ_01228","DIGNGMGA_00230","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P28601"
"rplC","","50S ribosomal protein L3","5","5","1","132","5712","150","3029","","617","617","617","BIAFHNIK_01702","ACNLJPHK_00611","","","","IFMAJOOC_02682","NBFCBFAJ_01227","DIGNGMGA_00229","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P42920"
"purM","","Phosphoribosylformylglycinamidine cyclo-ligase","5","5","1","132","5244","150","2876","","1178","1178","1178","BIAFHNIK_01929","ACNLJPHK_01757","","","","IFMAJOOC_01234","NBFCBFAJ_01157","DIGNGMGA_00156","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q5L3D0"
"gyrB","","DNA gyrase subunit B","5","5","1","132","1920","150","1018","","1937","1937","1937","BIAFHNIK_01981","ACNLJPHK_00816","","","","IFMAJOOC_01748","NBFCBFAJ_01127","DIGNGMGA_00070","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WG45"
"mdh","","Malate dehydrogenase","5","5","1","132","1918","150","1015","","926","926","926","BIAFHNIK_01983","ACNLJPHK_00813","","","","IFMAJOOC_01745","NBFCBFAJ_01129","DIGNGMGA_00068","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q25QU7"
"gyrA","","DNA gyrase subunit A","5","5","1","132","6982","150","7419","","2501","2540","2508","BIAFHNIK_02003","ACNLJPHK_01955","","","","IFMAJOOC_00293","NBFCBFAJ_01336","DIGNGMGA_00303","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q99XG5"
"rimO","","hypothetical protein; Ribosomal protein S12 methylthiotransferase RimO","5","5","1","132","3890","150","6050","","1952","2135","1991","BIAFHNIK_02027","ACNLJPHK_00796","","","","IFMAJOOC_01726","NBFCBFAJ_01115","DIGNGMGA_00054","ab initio prediction:Prodigal:2.6"
"purE","","N5-carboxyaminoimidazole ribonucleotide mutase","5","5","1","132","4098","150","6597","","437","479","470","BIAFHNIK_02047","ACNLJPHK_01228","","","","IFMAJOOC_03105","NBFCBFAJ_01098","DIGNGMGA_00033","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9WYS7"
"metG","","Methionine--tRNA ligase","5","5","1","132","2951","150","3696","","2054","2126","2068","BIAFHNIK_02268","ACNLJPHK_01219","","JLCCBCLK_00493","","IFMAJOOC_02711","NBFCBFAJ_00683","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P00959"
"pyk","","Pyruvate kinase","5","5","1","132","2925","150","3671","","1427","1427","1427","BIAFHNIK_02277","ACNLJPHK_00079","","JLCCBCLK_00483","","IFMAJOOC_02771","NBFCBFAJ_00674","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q02499"
"radA","","DNA repair protein RadA","5","5","1","132","1381","150","3622","","1361","1361","1361","BIAFHNIK_02333","ACNLJPHK_00045","","JLCCBCLK_00448","","IFMAJOOC_02019","NBFCBFAJ_00637","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P37572"
"glmS","","Glutamine--fructose-6-phosphate aminotransferase [isomerizing]","5","5","1","132","1390","150","3613","","1856","1856","1856","BIAFHNIK_02339","ACNLJPHK_00039","","JLCCBCLK_00442","","IFMAJOOC_02025","NBFCBFAJ_00630","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P17169"
"pheS","","Phenylalanine--tRNA ligase alpha subunit","5","5","1","132","1395","150","3596","","572","1019","929","BIAFHNIK_02343","ACNLJPHK_00035","","JLCCBCLK_00438","","IFMAJOOC_03117","NBFCBFAJ_00626","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9I0A3"
"aspS","","Aspartate--tRNA ligase","5","5","1","132","1421","150","3589","","1751","1760","1754","BIAFHNIK_02349","ACNLJPHK_00029","","JLCCBCLK_00434","","IFMAJOOC_02458","NBFCBFAJ_00621","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P67015"
"ruvB","","Holliday junction ATP-dependent DNA helicase RuvB","5","5","1","132","3124","150","4066","","1022","1046","1026","BIAFHNIK_02411","ACNLJPHK_01267","","JLCCBCLK_00551","","IFMAJOOC_01973","NBFCBFAJ_00171","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A812"
"infA","","Translation initiation factor IF-1","5","5","1","132","5784","150","3082","","215","215","215","BIAFHNIK_00820","ACNLJPHK_00632","","","","IFMAJOOC_02736","NBFCBFAJ_01248","DIGNGMGA_00250","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P20458"
"coxM","","Alternative cytochrome c oxidase subunit 2","5","5","1","132","3471","150","3981","","1007","1007","1007","BIAFHNIK_02413","ACNLJPHK_00691","","JLCCBCLK_00549","","IFMAJOOC_01975","NBFCBFAJ_00189","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P98053"
"sufE","","Cysteine desulfuration protein SufE","5","5","1","132","3487","150","3959","","425","425","425","BIAFHNIK_02425","ACNLJPHK_00681","","JLCCBCLK_00539","","IFMAJOOC_01985","NBFCBFAJ_00199","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P76194"
"purF","","Amidophosphoribosyltransferase","5","5","1","132","3482","150","3970","","1898","1898","1898","BIAFHNIK_02427","ACNLJPHK_00683","","JLCCBCLK_00541","","IFMAJOOC_01983","NBFCBFAJ_00197","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P00497"
"nqrB","","Na(+)-translocating NADH-quinone reductase subunit B","5","5","1","132","8718","150","3786","","1205","1205","1205","BIAFHNIK_02441","ACNLJPHK_01813","","JLCCBCLK_00577","","IFMAJOOC_00085","NBFCBFAJ_00218","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:A5F5X0"
"atpA","","ATP synthase subunit alpha","5","5","1","132","1297","150","1870","","1580","1580","1580","BIAFHNIK_02491","ACNLJPHK_01495","","JLCCBCLK_00369","","IFMAJOOC_01168","NBFCBFAJ_00565","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9X1U7"
"entS","","Enterobactin exporter EntS","5","5","1","132","8388","150","7563","","1268","1280","1270","BIAFHNIK_02551","ACNLJPHK_00182","","JLCCBCLK_00270","","IFMAJOOC_00467","NBFCBFAJ_00448","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P24077"
"rpsJ","","30S ribosomal protein S10","5","5","1","132","5711","150","3028","","305","305","305","BIAFHNIK_01703","ACNLJPHK_00610","","","","IFMAJOOC_02683","NBFCBFAJ_01226","DIGNGMGA_00228","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P21471"
"rpmA","","50S ribosomal protein L27","5","5","1","132","6744","150","184","","260","260","260","BIAFHNIK_00054","ACNLJPHK_02903","","JLCCBCLK_00160","","IFMAJOOC_01682","NBFCBFAJ_00554","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q6NDE9"
"apbC","","Iron-sulfur cluster carrier protein","5","5","1","132","6774","150","157","","1130","1172","1138","BIAFHNIK_00077","ACNLJPHK_02359","","JLCCBCLK_00135","","IFMAJOOC_02576","NBFCBFAJ_00333","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q8ZNN5"
"group_357","","putative acyl-CoA thioester hydrolase","5","5","1","132","6034","150","334","","512","521","513","BIAFHNIK_00088","ACNLJPHK_00441","","JLCCBCLK_00229","","IFMAJOOC_02093","NBFCBFAJ_00481","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P44886"
"gtaB","","UTP--glucose-1-phosphate uridylyltransferase; Glucose-1-phosphate thymidylyltransferase 2","5","5","1","132","6028","150","342","","1016","1016","1016","BIAFHNIK_00093","ACNLJPHK_00436","","JLCCBCLK_00224","","IFMAJOOC_02098","NBFCBFAJ_00486","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P61887"
"walR","","Transcriptional regulatory protein WalR","5","5","1","132","6009","150","355","","695","698","696","BIAFHNIK_00098","ACNLJPHK_00425","","JLCCBCLK_00215","","IFMAJOOC_00983","NBFCBFAJ_00493","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P37478"
"carC","","Caffeyl-CoA reductase-Etf complex subunit CarC; Glutaryl-CoA dehydrogenase","5","5","1","132","6002","150","378","","1178","1178","1178","BIAFHNIK_00104","ACNLJPHK_00847","","JLCCBCLK_00209","","IFMAJOOC_00989","NBFCBFAJ_00500","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:C3UVB0"
"maeB","","NADP-dependent malic enzyme","5","5","1","132","6907","150","5117","","2276","2294","2288","BIAFHNIK_00161","ACNLJPHK_02512","","JLCCBCLK_00080","","IFMAJOOC_00222","NBFCBFAJ_00285","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P76558"
"prfC","","Peptide chain release factor 3","5","5","1","132","6436","150","5139","","1586","1592","1587","BIAFHNIK_00775","ACNLJPHK_02390","","","AGNIMCJO_00620","IFMAJOOC_01056","","DIGNGMGA_00564","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:B8DIL5"
"rpsE","","30S ribosomal protein S5","5","5","1","132","5780","150","3078","","521","521","521","BIAFHNIK_00816","ACNLJPHK_00628","","","","IFMAJOOC_02732","NBFCBFAJ_01244","DIGNGMGA_00246","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P21467"
"secY","","Protein translocase subunit SecY","5","5","1","132","5783","150","3081","","1319","1322","1321","BIAFHNIK_00819","ACNLJPHK_00631","","","","IFMAJOOC_02735","NBFCBFAJ_01247","DIGNGMGA_00249","ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_01465"
"rpsK","","30S ribosomal protein S11","5","5","1","132","5786","150","3084","","386","386","386","BIAFHNIK_00822","ACNLJPHK_00635","","","","IFMAJOOC_02739","NBFCBFAJ_01250","DIGNGMGA_00252","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q2FW31"
"rpoA","","DNA-directed RNA polymerase subunit alpha","5","5","1","132","5789","150","3087","","992","992","992","BIAFHNIK_00824","ACNLJPHK_00637","","","","IFMAJOOC_02741","NBFCBFAJ_01252","DIGNGMGA_00254","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P20429"
"hemE","","Uroporphyrinogen decarboxylase","5","5","1","132","378","150","1431","","1025","1031","1028","BIAFHNIK_00914","ACNLJPHK_00769","","","AGNIMCJO_00475","IFMAJOOC_02939","","DIGNGMGA_00491","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q83PB7"
"fumC","","Fumarate hydratase class II","5","5","1","132","7212","150","6657","","1397","1403","1400","BIAFHNIK_00929","ACNLJPHK_01146","GIHJJLIL_00106","","","IFMAJOOC_01286","","DIGNGMGA_00648","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P05042"
"rpmH","","50S ribosomal protein L34","5","5","1","132","7745","150","8524","","161","161","161","BIAFHNIK_00934","ACNLJPHK_02052","GIHJJLIL_00101","","","IFMAJOOC_02844","","DIGNGMGA_00653","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q2FUQ0"
"ffh","","Signal recognition particle protein","5","5","1","132","2182","150","8373","","1328","1328","1328","BIAFHNIK_01395","ACNLJPHK_01375","","JLCCBCLK_00021","AGNIMCJO_00054","IFMAJOOC_00855","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P37105"
"lpd","","Dihydrolipoyl dehydrogenase","5","5","1","132","4195","150","5393","","1388","1388","1388","BIAFHNIK_01625","ACNLJPHK_00756","","","AGNIMCJO_00674","IFMAJOOC_01533","","DIGNGMGA_00625","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q8NTE1"
"accD5","","putative propionyl-CoA carboxylase beta chain 5","5","5","1","132","3616","150","5347","","1628","1643","1637","BIAFHNIK_01643","ACNLJPHK_00734","","","AGNIMCJO_00745","IFMAJOOC_02902","","DIGNGMGA_00608","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WQH7"
"rpsN2","","Alternate 30S ribosomal protein S14","5","5","1","132","5767","150","3068","","269","269","269","BIAFHNIK_01689","ACNLJPHK_00624","","","","IFMAJOOC_02669","NBFCBFAJ_01240","DIGNGMGA_00242","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O31587"
"rplN","","50S ribosomal protein L14","5","5","1","132","5723","150","3039","","368","368","368","BIAFHNIK_01692","ACNLJPHK_00621","","","","IFMAJOOC_02672","NBFCBFAJ_01237","DIGNGMGA_00239","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P04450"
"rplV","","50S ribosomal protein L22","5","5","1","132","5718","150","3034","","404","404","404","BIAFHNIK_01697","ACNLJPHK_00616","","","","IFMAJOOC_02677","NBFCBFAJ_01232","DIGNGMGA_00234","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P61175"
"rpsS","","30S ribosomal protein S19","5","5","1","132","5717","150","3033","","278","278","278","BIAFHNIK_01698","ACNLJPHK_00615","","","","IFMAJOOC_02678","NBFCBFAJ_01231","DIGNGMGA_00233","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A5X5"
"rpsG","","30S ribosomal protein S7","5","5","1","132","5709","150","3026","","476","476","476","BIAFHNIK_01705","ACNLJPHK_00608","","","","IFMAJOOC_02685","NBFCBFAJ_01224","DIGNGMGA_00226","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P22744"
"rarA","","Replication-associated recombination protein A","5","5","1","132","5696","150","3006","","1271","1271","1271","BIAFHNIK_01711","ACNLJPHK_00600","","","","IFMAJOOC_01698","NBFCBFAJ_01218","DIGNGMGA_00217","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AAZ4"
"prfA","","Peptide chain release factor 1; Peptide chain release factor RF1","5","5","1","132","5193","150","2892","","1076","1076","1076","BIAFHNIK_01835","ACNLJPHK_01755","","","","IFMAJOOC_01236","NBFCBFAJ_01166","DIGNGMGA_00158","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A7I0"
"icmF","","Fused isobutyryl-CoA mutase","5","5","1","132","1976","150","1078","","3431","3440","3438","BIAFHNIK_01967","ACNLJPHK_01119","","","","IFMAJOOC_01474","NBFCBFAJ_00179","DIGNGMGA_00091","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q5KUG0"
"group_434","","hypothetical protein","5","5","1","132","7281","150","7437","","344","344","344","BIAFHNIK_02008","ACNLJPHK_02855","","","","IFMAJOOC_02078","NBFCBFAJ_01330","DIGNGMGA_00292","ab initio prediction:Prodigal:2.6"
"lpdG","","Dihydrolipoyl dehydrogenase","5","5","1","132","4083","150","6580","","1400","1400","1400","BIAFHNIK_02058","ACNLJPHK_01236","","","","IFMAJOOC_01319","NBFCBFAJ_01088","DIGNGMGA_00029","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P18925"
"rpsL","","30S ribosomal protein S12","5","5","1","132","5708","150","3025","","374","380","377","BIAFHNIK_01706","ACNLJPHK_00607","","","","IFMAJOOC_02686","NBFCBFAJ_01223","DIGNGMGA_00225","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A4A4"
"fabF_1","","3-oxoacyl-[acyl-carrier-protein] synthase 2","5","5","1","132","2922","150","3666","","1250","1250","1250","BIAFHNIK_02280","ACNLJPHK_00076","","JLCCBCLK_00480","","IFMAJOOC_02768","NBFCBFAJ_00671","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O34340"
"panD","","Aspartate 1-decarboxylase","5","5","1","132","1385","150","3619","","350","350","350","BIAFHNIK_02335","ACNLJPHK_00043","","JLCCBCLK_00446","","IFMAJOOC_02021","NBFCBFAJ_00634","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:A0M786"
"sodA","","Superoxide dismutase [Mn]","5","5","1","132","1459","150","1802","","608","608","608","BIAFHNIK_02383","ACNLJPHK_00008","","JLCCBCLK_00419","","IFMAJOOC_02961","NBFCBFAJ_00606","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P00449"
"coxN","","Alternative cytochrome c oxidase subunit 1","5","5","1","132","3467","150","4075","","1769","1769","1769","BIAFHNIK_02412","ACNLJPHK_00692","","JLCCBCLK_00550","","IFMAJOOC_01974","NBFCBFAJ_00188","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P98000"
